,ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title,Gene.ID
0,205612_at,9.26e-34,1.69e-38,-21.6998662,76.944584,-4.21712511,MMRN1,multimerin 1,22915
1,244825_at,2.03e-30,8.49e-35,19.4383435,68.613359,2.10187561,SHROOM4,shroom family member 4,57477
2,219059_s_at,2.03e-30,1.12e-34,-19.3682486,68.345009,-3.32036291,LYVE1,lymphatic vessel endothelial hyaluronan receptor 1,10894
3,207977_s_at,8.34e-29,6.1e-33,-18.3608828,64.419051,-1.99807503,DPT,dermatopontin,1805
4,202701_at,1.08e-28,9.91e-33,18.2407198,63.942009,1.02288296,BMP1,bone morphogenetic protein 1,649
5,228585_at,1.4e-28,1.9400000000000002e-32,18.0758598,63.284465,3.57462127,ENTPD1,ectonucleoside triphosphate diphosphohydrolase 1,953
6,208025_s_at,1.4e-28,1.95e-32,18.0743549,63.278447,5.38930092,HMGA2,high mobility group AT-hook 2,8091
7,200701_at,1.4e-28,2.2e-32,18.0443618,63.158433,1.65416803,NPC2,NPC intracellular cholesterol transporter 2,10577
8,220037_s_at,1.4e-28,2.3100000000000002e-32,-18.032252,63.109943,-3.45030713,LYVE1,lymphatic vessel endothelial hyaluronan receptor 1,10894
9,242344_at,1.8499999999999999e-28,3.39e-32,17.938463,62.733752,5.99256743,GABRB2,gamma-aminobutyric acid type A receptor beta2 subunit,2561
10,205728_at,3.76e-28,7.570000000000001e-32,17.7423289,61.943333,4.62507757,TENM1,teneurin transmembrane protein 1,10178
11,219628_at,4.34e-28,9.53e-32,17.6865753,61.717728,1.94958999,ZMAT3,zinc finger matrin-type 3,64393
12,205083_at,4.7e-28,1.12e-31,-17.6475871,61.559721,-2.90293956,AOX1,aldehyde oxidase 1,316
13,207808_s_at,9.04e-28,2.32e-31,17.4709079,60.841197,2.67060195,PROS1,protein S (alpha),5627
14,202609_at,9.04e-28,2.48e-31,17.4551153,60.776771,1.92524268,EPS8,epidermal growth factor receptor pathway substrate 8,2059
15,214803_at,1.07e-27,3.1400000000000002e-31,17.3981929,60.544287,3.1468288,CDH6,cadherin 6,1004
16,209612_s_at,1.2600000000000001e-27,3.9100000000000004e-31,-17.3454532,60.328505,-3.48433157,ADH1B,"alcohol dehydrogenase 1B (class I), beta polypeptide",125
17,209613_s_at,1.57e-27,5.18e-31,-17.2778835,60.051513,-3.76806166,ADH1B,"alcohol dehydrogenase 1B (class I), beta polypeptide",125
18,205954_at,3.55e-27,1.24e-30,17.0701914,59.196347,3.73427027,RXRG,retinoid X receptor gamma,6258
19,242496_at,3.8800000000000006e-27,1.42e-30,-17.0371863,59.059927,-1.92057836,ART4,ADP-ribosyltransferase 4 (Dombrock blood group),420
20,212850_s_at,4.020000000000001e-27,1.5399999999999998e-30,17.0171728,58.977135,4.46996935,LRP4,LDL receptor related protein 4,4038
21,205923_at,4.72e-27,1.8999999999999998e-30,-16.9680886,58.77386,-2.52406549,RELN,reelin,5649
22,222921_s_at,6.190000000000001e-27,2.6099999999999998e-30,16.8927976,58.461437,2.66266466,HEY2,hes related family bHLH transcription factor with YRPW motif 2,23493
23,214044_at,7.190000000000001e-27,3.16e-30,-16.8472929,58.272251,-2.3613494,RYR2,ryanodine receptor 2,6262
24,235871_at,8.090000000000001e-27,3.6999999999999996e-30,16.8099765,58.116905,2.08873655,LIPH,lipase H,200879
25,202071_at,8.850000000000001e-27,4.21e-30,16.7792458,57.988837,2.30429199,SDC4,syndecan 4,6385
26,203780_at,9.960000000000001e-27,4.9199999999999996e-30,16.7425813,57.835877,2.34571806,MPZL2,myelin protein zero like 2,10205
27,205485_at,1.07e-26,5.5e-30,16.7161929,57.725678,2.85848759,RYR1,ryanodine receptor 1,6261
28,202528_at,1.26e-26,6.68e-30,16.6704093,57.534267,2.24268085,GALE,UDP-galactose-4-epimerase,2582
29,213071_at,1.41e-26,7.73e-30,-16.6359173,57.389881,-2.76184568,DPT,dermatopontin,1805
30,1556427_s_at,1.58e-26,8.93e-30,-16.6020232,57.247845,-1.67946024,LRRN4CL,LRRN4 C-terminal like,221091
31,225056_at,2.74e-26,1.6e-29,16.4650124,56.67215,1.74159838,SIPA1L2,signal induced proliferation associated 1 like 2,57568
32,227618_at,2.9300000000000003e-26,1.7700000000000001e-29,16.4421443,56.575822,2.11066699,NHSL2,NHS like 2,340527
33,211343_s_at,3.15e-26,1.9600000000000002e-29,16.4182255,56.474994,2.84332127,COL13A1,collagen type XIII alpha 1 chain,1305
34,210664_s_at,3.24e-26,2.0800000000000002e-29,-16.4044506,56.416893,-2.09777589,TFPI,tissue factor pathway inhibitor,7035
35,206498_at,4e-26,2.63e-29,-16.349189,56.183554,-2.21261513,OCA2,OCA2 melanosomal transmembrane protein,4948
36,209473_at,4.45e-26,3.01e-29,16.3176078,56.050024,2.36423998,ENTPD1,ectonucleoside triphosphate diphosphohydrolase 1,953
37,202733_at,5.470000000000001e-26,3.95e-29,16.2548287,55.784195,1.86001946,LOC101927705///P4HA2,uncharacterized LOC101927705///prolyl 4-hydroxylase subunit alpha 2,101927705///8974
38,203256_at,5.470000000000001e-26,3.9600000000000003e-29,16.253742,55.779589,2.79373615,CDH3,cadherin 3,1001
39,230518_at,5.470000000000001e-26,4.0000000000000003e-29,16.2514859,55.770026,2.29807434,MPZL2,myelin protein zero like 2,10205
40,211828_s_at,6.200000000000001e-26,4.65e-29,16.2166198,55.622151,2.17628444,TNIK,TRAF2 and NCK interacting kinase,23043
41,213423_x_at,7.77e-26,5.97e-29,16.1587164,55.376218,2.95246927,TUSC3,tumor suppressor candidate 3,7991
42,204105_s_at,8.45e-26,6.65e-29,16.1337362,55.269984,2.42968,NRCAM,neuronal cell adhesion molecule,4897
43,229584_at,8.59e-26,6.91e-29,16.1247083,55.231571,4.27728473,LRRK2,leucine rich repeat kinase 2,120892
44,218313_s_at,9.500000000000001e-26,7.82e-29,16.0960513,55.109565,1.97517997,GALNT7,polypeptide N-acetylgalactosaminyltransferase 7,51809
45,241898_at,1.09e-25,9.160000000000001e-29,16.0596173,54.954294,2.39499761,LIPH,lipase H,200879
46,230252_at,1.14e-25,9.760000000000001e-29,16.0448852,54.891461,3.1771491,LPAR5,lysophosphatidic acid receptor 5,57121
47,222581_at,1.28e-25,1.1199999999999999e-28,16.0125803,54.753578,1.57019317,XPR1,xenotropic and polytropic retrovirus receptor 1,9213
48,1557122_s_at,1.55e-25,1.42e-28,15.9588254,54.523841,4.43075633,GABRB2,gamma-aminobutyric acid type A receptor beta2 subunit,2561
49,243172_at,1.55e-25,1.42e-28,15.9582273,54.521283,2.17310168,,,
50,206517_at,1.6e-25,1.49e-28,-15.9472292,54.474232,-2.91253689,CDH16,cadherin 16,1014
51,226961_at,1.65e-25,1.58e-28,15.933593,54.415873,4.83013083,PRR15,proline rich 15,222171
52,242093_at,1.65e-25,1.62e-28,15.9277664,54.39093,4.23164965,SYTL5,synaptotagmin like 5,94122
53,213107_at,1.65e-25,1.63e-28,15.9269285,54.387342,1.65825325,TNIK,TRAF2 and NCK interacting kinase,23043
54,233587_s_at,1.77e-25,1.78e-28,15.9065032,54.299864,1.59427958,SIPA1L2,signal induced proliferation associated 1 like 2,57568
55,203717_at,1.93e-25,1.9699999999999999e-28,15.8826824,54.197776,3.54220268,DPP4,dipeptidyl peptidase 4,1803
56,204014_at,2.04e-25,2.13e-28,15.864792,54.121054,3.19608524,DUSP4,dual specificity phosphatase 4,1846
57,227221_at,2.14e-25,2.27e-28,15.850284,54.058807,1.69617169,ZMAT3,zinc finger matrin-type 3,64393
58,1556051_a_at,2.69e-25,2.91e-28,15.7935516,53.815129,1.40519612,BICD1,BICD cargo adaptor 1,636
