,ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title,Gene.ID
0,205923_at,3.08e-05,2.36e-09,-7.21683436,11.10678,-1.29,RELN,reelin,5649
1,213071_at,3.08e-05,2.76e-09,-7.17369348,10.96091,-3.73,DPT,dermatopontin,1805
2,220037_s_at,7.1e-05,9.56e-09,-6.83395431,9.81035,-2.91,LYVE1,lymphatic vessel endothelial hyaluronan receptor 1,10894
3,206724_at,7.17e-05,1.39e-08,6.73063081,9.46006,0.772,CBX4,chromobox 4,8535
4,209612_s_at,7.17e-05,1.77e-08,-6.66471819,9.2366,-2.58,ADH1B,"alcohol dehydrogenase 1B (class I), beta polypeptide",125
5,201525_at,7.17e-05,1.93e-08,-6.64144794,9.1577,-2.51,APOD,apolipoprotein D,347
6,202995_s_at,7.84e-05,2.46e-08,-6.57481717,8.93183,-2.31,FBLN1,fibulin 1,2192
7,214414_x_at,0.000101,4.57e-08,-6.40505372,8.35666,-1.77,HBA2///HBA1,hemoglobin subunit alpha 2///hemoglobin subunit alpha 1,3040///3039
8,209116_x_at,0.000101,4.71e-08,-6.3966395,8.32817,-2.31,HBB,hemoglobin subunit beta,3043
9,211699_x_at,0.000101,5.25e-08,-6.36697851,8.22775,-1.63,HBA2///HBA1,hemoglobin subunit alpha 2///hemoglobin subunit alpha 1,3040///3039
10,205574_x_at,0.000101,5.64e-08,6.34753468,8.16194,0.97,BMP1,bone morphogenetic protein 1,649
11,205382_s_at,0.000101,5.97e-08,-6.33200056,8.10937,-2.91,CFD,complement factor D,1675
12,202994_s_at,0.000101,6.07e-08,-6.32721294,8.09317,-3.71,FBLN1,fibulin 1,2192
13,210155_at,0.000101,6.34e-08,-6.31515338,8.05236,-2.33,MYOC,myocilin,4653
14,213247_at,0.0001104,7.54e-08,-6.26779094,7.89216,-1.71,SVEP1,"sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1",79987
15,217232_x_at,0.0001104,7.93e-08,-6.25384996,7.84503,-1.9,HBB,hemoglobin subunit beta,3043
16,219778_at,0.000118,9e-08,-6.2189807,7.72717,-1.8,ZFPM2,"zinc finger protein, FOG family member 2",23414
17,208711_s_at,0.0001231,1.01e-07,6.18860952,7.62455,1.54,CCND1,cyclin D1,595
18,211726_s_at,0.0001231,1.05e-07,-6.17675423,7.58451,-1.33,FMO2,flavin containing monooxygenase 2,2327
19,219059_s_at,0.0001235,1.11e-07,-6.16169067,7.53364,-2.04,LYVE1,lymphatic vessel endothelial hyaluronan receptor 1,10894
20,206737_at,0.0001472,1.42e-07,-6.09428563,7.30617,-0.902,WNT11,Wnt family member 11,7481
21,221640_s_at,0.0001472,1.54e-07,6.07119162,7.2283,0.641,PIDD1,p53-induced death domain protein 1,55367
22,219054_at,0.0001472,1.6e-07,-6.05995905,7.19043,-1.55,NPR3,natriuretic peptide receptor 3,4883
23,209220_at,0.0001472,1.69e-07,-6.04552041,7.14177,-1.15,GPC3,glypican 3,2719
24,211696_x_at,0.0001472,1.69e-07,-6.04501519,7.14007,-1.77,HBB,hemoglobin subunit beta,3043
25,217414_x_at,0.0001472,1.72e-07,-6.04090706,7.12623,-2.03,HBA2///HBA1,hemoglobin subunit alpha 2///hemoglobin subunit alpha 1,3040///3039
26,204834_at,0.000149,1.81e-07,-6.02721231,7.08009,-1.62,FGL2,fibrinogen like 2,10875
27,211593_s_at,0.0001646,2.07e-07,5.98964331,6.95358,0.587,MAST2,microtubule associated serine/threonine kinase 2,23139
28,221019_s_at,0.0001715,2.23e-07,-5.96868001,6.88303,-1.12,COLEC12,collectin subfamily member 12,81035
29,211813_x_at,0.0001971,2.7e-07,-5.91562286,6.70463,-2.47,DCN,decorin,1634
30,204955_at,0.0001971,2.79e-07,-5.90722261,6.6764,-1.69,SRPX,"sushi repeat containing protein, X-linked",8406
31,204872_at,0.0001971,2.83e-07,-5.90290863,6.66191,-1.58,TLE4,transducin like enhancer of split 4,7091
32,209501_at,0.0001976,2.98e-07,-5.88847073,6.61342,-0.862,LOC101060399///CDR2,cerebellar degeneration-related protein 2///cerebellar degeneration related protein 2,101060399///1039
33,204419_x_at,0.0001976,3.01e-07,-5.88544739,6.60326,-1.25,HBG2///HBG1,hemoglobin subunit gamma 2///hemoglobin subunit gamma 1,3048///3047
34,217525_at,0.0002138,3.36e-07,-5.85548475,6.50268,-0.741,OLFML1,olfactomedin like 1,283298
35,213068_at,0.0002263,3.66e-07,-5.83193577,6.42369,-2.51,DPT,dermatopontin,1805
36,208116_s_at,0.0002297,3.81e-07,-5.82022709,6.38443,-0.914,MAN1A1,mannosidase alpha class 1A member 1,4121
37,207977_s_at,0.0002504,4.33e-07,-5.78520641,6.26708,-3.02,DPT,dermatopontin,1805
38,202965_s_at,0.0002504,4.48e-07,-5.77552767,6.23467,-1.79,CAPN6,calpain 6,827
39,217853_at,0.0002504,4.7e-07,-5.76253516,6.19118,-1.0,TNS3,tensin 3,64759
40,213258_at,0.0002504,4.75e-07,-5.75946919,6.18092,-1.16,TFPI,tissue factor pathway inhibitor,7035
41,211745_x_at,0.0002504,4.79e-07,-5.75712913,6.17308,-1.78,HBA2///HBA1,hemoglobin subunit alpha 2///hemoglobin subunit alpha 1,3040///3039
42,215913_s_at,0.0002504,4.83e-07,-5.75454612,6.16444,-2.4,GULP1,"GULP, engulfment adaptor PTB domain containing 1",51454
43,213515_x_at,0.0002598,5.14e-07,-5.7374068,6.1071,-0.924,HBG2///HBG1,hemoglobin subunit gamma 2///hemoglobin subunit gamma 1,3048///3047
44,205083_at,0.0002598,5.25e-07,-5.73161834,6.08774,-1.56,AOX1,aldehyde oxidase 1,316
45,214745_at,0.0002915,6.02e-07,-5.69347269,5.96026,-1.36,PLCH1,phospholipase C eta 1,23007
46,204018_x_at,0.0002955,6.28e-07,-5.68176508,5.92116,-1.67,HBA2///HBA1,hemoglobin subunit alpha 2///hemoglobin subunit alpha 1,3040///3039
47,204237_at,0.0002955,6.37e-07,-5.6778244,5.90801,-1.76,GULP1,"GULP, engulfment adaptor PTB domain containing 1",51454
48,204061_at,0.0003025,6.65e-07,-5.66556639,5.86709,-1.41,PRKX,"protein kinase, X-linked",5613
49,214607_at,0.0003044,6.83e-07,-5.65824617,5.84267,-1.14,PAK3,p21 (RAC1) activated kinase 3,5063
50,212713_at,0.0003085,7.13e-07,-5.6461872,5.80244,-2.59,MFAP4,microfibrillar associated protein 4,4239
51,204359_at,0.0003085,7.2e-07,-5.64356267,5.79369,-1.71,LOC100506718///FLRT2,uncharacterized LOC100506718///fibronectin leucine rich transmembrane protein 2,100506718///23768
52,219093_at,0.0003108,7.39e-07,-5.6361575,5.769,-1.92,PID1,phosphotyrosine interaction domain containing 1,55022
53,214500_at,0.0003173,7.71e-07,5.62459557,5.73046,0.78,H2AFY,H2A histone family member Y,9555
54,211896_s_at,0.0003173,7.9e-07,-5.61765936,5.70735,-3.11,DCN,decorin,1634
55,219522_at,0.0003173,8.09e-07,5.61097576,5.68508,1.0,FJX1,four jointed box 1,24147
